	Id	Text	Label
2034	1109531920722022400_twitter	<user> nigger nigger nigger	hatespeech
14388	13661704_gab	yep retarded is now intellectual disability makes the retards proud	offensive
20095	9740830_gab	i deleted mine after 2 nd time fb gave me a time out for posting something they did not like it been four months and while it took about a month to wean myself off of it i do not miss it now it an internet ghetto	normal
1190	1178826128338780160_twitter	oh i fucking hate you cuz you a fucking time wasting motherfucker	normal
19786	8309724_gab	some white chick was a bitch to me once so i hope all white women suffer for all time wtf	undecided
10399	1081356390013095936_twitter	<user> this should be fun post colonial immigrant european america receiving their own medicine	normal
9480	18350386_gab	whats up with everybody who can name the jew buts quotes nihilistic faggots in their about me really aggravates me i mean i agree with some things malcolm x said but im not going to quote the nigger	hatespeech
4336	1179037327328366593_twitter	<user> lol the pibble defense brigade out in force in the replies be like well mine dindu nuffin that not how statistics work	normal
8851	1178874632482381824_twitter	<user> the tolerant left killing children consequence free expecting tax payers to pay for it and hoping pro human people get raped	normal
19086	4386546_gab	<user> linda came to flint michigan for a photo op of delivering water to families she not even from michigan our newpaper made a big deal to show how co operative the recent refugees were in this crisis	normal
15767	17424248_gab	this is what they are building for the new asian australians that they are importing from china and who will ultimately vote first for socialism and then communism asians do not really buy a lot of houses because they are used to shanghai living	undecided
10423	1082356484019752962_twitter	<user> now it a humanitarian crisis because he wants to declare an emergency he doesnt see refugees as humans resigntrump	normal
17790	24171592_gab	fuk every jew u are part of the bolshevik jews that killed <number> million christians fuk u dog shit	hatespeech
3703	12583735_gab	nah hillary loves muzzies the same way she loves rapists those are her peeps	hatespeech
17160	21943283_gab	muslim goathumping shit should have his eyes put out with a burning poker	hatespeech
16134	18425911_gab	syrians are arabs why didnt they run to saudi kuwait qatar eh syrians do not speak german either syrians have run to the money vile gimmegrants	offensive
12283	1183714936398200835_twitter	i ’ m tired of waking up for school this shit is so ghetto	normal
18912	3400567_gab	<user> are not the immigrants from iran sikhs as well i have heard a lot of great success stories about how they integrated into our society	normal
13794	1261659830709678086_twitter	<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs	hatespeech
13307	1233848625022763010_twitter	<user> must be free gold retarded people	offensive
8784	1179026185986154502_twitter	<user> then why do you grope women and threaten them and love islam so much	normal
19491	6586152_gab	breitbart over on twitter really does themselves a major disservice by writing some retarded scribbling instead of a headline before the link for example lel throwdown huh whoopsie alas bring et k.i.s.s. yus wot you all ignant k me irl sumwun gwumpy etc etc what dipshits	normal
11380	1124911967930503168_twitter	<user> no muslim country have nuclears other than pakistan	normal
6538	1178148443564527619_twitter	<user> i was just reading a bs a thred on this topic 🙄 😑 🤦 🏽 \u200d ♀️ it blew me the comments that were made and conclusions that were reached ugh	normal
8219	1179059763994345474_twitter	<user> my money on a muslim immigrant could be wrong but doubtful	normal
19579	7096501_gab	was it just an accident that whitegenocide fanatic obama started the wars in libya syria that caused the muslim refugee invasion of europe and the us maga	offensive
11888	1167659752266113025_twitter	<user> there does seem to be an uncanny similarity between the current usual suspects and previous ‘ asians ’	offensive
2439	1178841761445302272_twitter	skinny white bitch who bullied me for being fat in middle school omg i am so thicc 🤪 😫 💦	offensive
19094	4428097_gab	it ll be interesting to see the language in these executive orders on immigration tomorrow trump is being a bad ass and keeping his word i am enjoying this now he needs to get high risk undocumented refugees and illegal immigrants the hell out of this country especially muslim fighter types	hatespeech
6825	20429127_gab	being managed by a ny kike what else would u expect	hatespeech
17469	22962144_gab	no faggot you are anti white for calling white nationalists wignats a retarded anti white term coined by your idol ricky vaughn	offensive
6529	1178862538412314624_twitter	read u in the <user> <user> re the mb municipal v the lgbt community tho beside the point i ask u as a gynaecologist who knows how the reproductive system works what happens to haman kind if we all chose to be homosexual u a real comic	normal
529	26999037_gab	so the major reason that moslem commit murder etc is because that the only way their book says that entry into heaven is guaranteed and they have recently opened it up for women too which previously was forbidden	offensive
3407	16908788_gab	you can not culturally enrich a moslem	hatespeech
13056	1219398637991747584_twitter	<user> <user> i hate you 😭 😭 😭 😭 💀	normal
18127	25285915_gab	you cite a jew source as if jews having nothing to loose if they admit a deliberate attack on the uss liberty	offensive
8939	18933424_gab	it may be that i am in california they are mostly wetback catholics disgusting hostile creatures no matter what god they pray to	hatespeech
16129	18416365_gab	stay mad ma snow nigga your women love that non white dick while you all stay cucked with your low sperm count and number of white babies dwindle 😉	hatespeech
610	324N5FAHSXCKZ5OS68BGDFK3SBPKV0_nf_3	we have been much better than brugge we have had more chances and we have controlled the game the two chances they had they scored cuz courtois is a fucking bum	normal
18923	3436770_gab	babbitt and deyo a gay couple engaged in ongoing sexual contact with eight underage boys over several years and then killed themselves when discovered breitbart	normal
5787	1178022000326897664_twitter	<user> they feel sorry for her because her father nastiness is cutting into the profits from her fake empowerment bullsh*t <censored>	normal
6406	1178842439253020673_twitter	<user> <user> <user> <user> is not he the trailer trash cousin from christmas vacation is was and will always be trailer trash	undecided
16431	19233626_gab	it was a horrible experience for me the first time i walked in on a jew watching niggers spank each other for entertainment that when i realized that kikes were sick and perverted	offensive
10689	1093161019520749571_twitter	black man locked up and y ’ all can tell but bring up them fuckin immigrants we do not care	hatespeech
14837	15016524_gab	and so stupid they are ready to create their own walled in ghetto complete with armed guards the dems played them like a chinese made ukulele	offensive
11262	1118521140471898112_twitter	say what you will about nazi germany but it was definitely the most lgbt inclusive place in the middle east	offensive
14475	13884037_gab	are not you the guy who wrote an article about the alt right and used a <number> year old picture of <number> goobers from the american nazi party as a caption seems pretty hackish to me	offensive
1105	20318223_gab	the heeb fears the muramasa	normal
9483	25945928_gab	slut you could not afford a fucking <money> wedding cheap ass crossbreed wetback gorilla zoo animal	hatespeech
5131	20186071_gab	send all jiggaboo porch monkies to wakanda make niggers geographically isolated from huwhites again	hatespeech
16395	19137219_gab	lol shoo shoo you belong with the sand niggers	hatespeech
