,Id,Similarity
0,12861638_gab,0.361
1,21726323_gab,0.889
2,14835583_gab,1.0
3,27251442_gab,1.0
4,11133060_gab,0.611
5,25665650_gab,0.396
6,25516280_gab,0.391
7,3168947_gab,0.31
8,15553301_gab,0.223
9,27872681_gab,0.611
10,11684884_gab,1.0
11,14445063_gab,1.0
12,1178771153156018176_twitter,0.583
13,25847294_gab,0.75
14,17821245_gab,1.0
15,6453946_gab,0.293
16,11474597_gab,0.75
17,1178941622815526912_twitter,0.417
18,11272788_gab,0.273
19,18392941_gab,0.677
20,8968572_gab,1.0
21,17973079_gab,1.0
22,5863837_gab,1.0
23,8210379_gab,1.0
24,21209515_gab,0.536
25,1178749717003558912_twitter,1.0
26,17397697_gab,0.72
27,9827968_gab,0.513
28,11580960_gab,0.75
29,5806927_gab,0.75
30,1253446187509784576_twitter,1.0
31,6893433_gab,0.307
32,25355082_gab,0.532
33,14877373_gab,0.514
34,22545451_gab,0.353
35,27162115_gab,0.622
36,17965117_gab,0.295
37,22669058_gab,1.0
38,25551077_gab,0.653
39,16752837_gab,0.75
40,15968656_gab,1.0
41,20872466_gab,1.0
42,1178783419188174848_twitter,1.0
43,11657882_gab,0.121
44,23964065_gab,0.479
45,19137586_gab,0.613
46,16056333_gab,0.0
47,22971068_gab,1.0
48,14046032_gab,0.75
49,17964759_gab,0.539
50,9814962_gab,0.421
51,25030808_gab,0.653
52,17524279_gab,1.0
53,22341093_gab,0.5
54,11800714_gab,0.347
55,2892220_gab,0.75
56,1178773239566405633_twitter,1.0
57,1178981359991349248_twitter,0.8
58,10060746_gab,0.722
59,2372101_gab,0.713
60,19090207_gab,0.5
61,1178311052062277634_twitter,0.5
62,14269466_gab,0.393
63,17825834_gab,0.678
64,19513796_gab,0.75
65,13338889_gab,0.889
66,18211625_gab,0.611
67,22771907_gab,0.938
68,18538260_gab,0.75
69,20151499_gab,0.611
70,13500230_gab,0.508
71,23956986_gab,0.75
72,1179043779354882049_twitter,1.0
73,19406744_gab,1.0
74,23383427_gab,0.611
75,21603448_gab,0.357
76,26107989_gab,0.75
77,16350214_gab,0.437
78,18837400_gab,0.75
79,18744398_gab,0.75
80,19840172_gab,1.0
81,15025367_gab,1.0
82,25629260_gab,0.75
83,19410887_gab,1.0
84,21838010_gab,1.0
85,4120470_gab,1.0
86,16866274_gab,0.556
87,5390438_gab,0.467
88,20120250_gab,0.36
89,17615865_gab,0.833
90,21611117_gab,0.615
91,15782348_gab,0.611
92,25267753_gab,0.436
93,7981655_gab,0.75
94,18230837_gab,0.698
95,25706209_gab,0.516
96,21735535_gab,0.722
97,17013950_gab,0.13
98,17179582_gab,1.0
99,21547300_gab,1.0
100,21357074_gab,0.25
101,24844856_gab,0.499
102,23801279_gab,0.543
103,11534429_gab,0.792
104,22088852_gab,0.462
105,14035101_gab,0.514
106,27944432_gab,0.75
107,13797010_gab,0.706
108,14987108_gab,1.0
109,12155952_gab,0.624
110,22107142_gab,1.0
111,24402010_gab,1.0
112,16935519_gab,0.623
113,24133934_gab,1.0
114,26030631_gab,0.75
115,12860828_gab,0.389
116,24867691_gab,0.567
117,21342377_gab,1.0
118,2958188_gab,0.423
119,1179089592819032069_twitter,0.111
120,21929907_gab,0.75
121,11756798_gab,1.0
122,16147501_gab,0.278
123,17511834_gab,0.459
124,1178658944136429571_twitter,1.0
125,22968073_gab,0.726
