	Id	Text	Label
9752	19085590_gab	ben is cool but he is still a nigger	hatespeech
6443	1178034572531044352_twitter	you can not speak abt lesbian issues you are a kpop stan ah yes i forgot jungkook took away my dyke card	offensive
776	15004236_gab	aside from philly allentown harrisburg and south central pa spic cities pa is an absolute glorious dream when you get to the country specially western pa if you get away from everything it a perfect place to raise a family	normal
17048	21534401_gab	absolutely right actually anti semitism is about arabs either arabs are semits arab language is similar to hebrew they derive from one origin yes they hate each other but they are equal wherever they appear they cause troubles	normal
8915	1179091274915143680_twitter	<user> if white privilege exists then why do not we have to use the w word for wigger	normal
14115	12828471_gab	i like my white skin we discovered america and built it including most inventions sorry niggers beaners and chinks	hatespeech
10518	1086592848512708608_twitter	we pray differently guyseu u just cant ask us muslims to lead the prayer inside the classroom	normal
3252	27088183_gab	one time i went to chicago and there was a homeless nigger railing on about jews should we support him why or why not	hatespeech
4340	1179049273872154625_twitter	<user> they are given refugee because muslim majority countries are killing them be it hindu or sikh or christian and muslims are just illegally immigrate nothing else	normal
13664	1254871802058141697_twitter	<user> jews are the real nazis	offensive
1210	16171583_gab	now you see why god told his people to kill queers	hatespeech
2357	1178264675663929346_twitter	<user> is it colored or black and white and make sure it has red background	normal
6952	1178925459842592768_twitter	<user> but they do not deny the holocaust they just question the death toll without looking into any sources that provide the reasons they calculate the death toll the way they do	normal
2926	16222828_gab	demented thot witch mistakes shit flinging negresses for almighty god crawls back into slime hole	hatespeech
16979	21248269_gab	<user> there are muslim umma fuckers muslim halal facebook is not reliable we must have a website social networking far powerfrul than muslim halal facebook we can destroy the coward muslim umma fuckers very easily	hatespeech
11691	1160586603796062208_twitter	<user> you muslim also how ’ ya day goin 😁	normal
5203	1179035080301240322_twitter	<user> not this man clocking your chicken legs with the white womens walking shoe 😭 he did not come to date he came to read	normal
16566	19691076_gab	i believe they prefer to be called mohammedans alternatively the terms sandnigger sandshitter or goatfucker can be used	hatespeech
1452	1178394632620855297_twitter	<user> <user> <user> <user> i guess all those facts and logic were just white noise to you huh	normal
1259	1179101213989601280_twitter	<user> <user> i do not have german guilt lol fascism is capitalist the contradictions of liberalism spawn fascist movements democratizing the workplace and killing <number> million jews ain t the same thing bruh	normal
2999	22047299_gab	look on youtube the nigger chicago gangs with weapons <number> round mags saying fuck trump lmfao you dumb ass punks show there faces lmfao 😂 😃 😄 😄 😄 😅 😅	hatespeech
18977	3819416_gab	<user> islam is nothing nut an evil bloodthirsty cult	offensive
