,Id,Similarity
0,13443541_gab,0.503
1,27478936_gab,0.571
2,1480557_gab,0.559
3,21726323_gab,0.889
4,14835583_gab,1.0
5,27251442_gab,1.0
6,11133060_gab,0.611
7,25665650_gab,0.417
8,20893287_gab,1.0
9,25516280_gab,0.499
10,3168947_gab,0.406
11,15553301_gab,0.359
12,27872681_gab,0.611
13,24549535_gab,1.0
14,11684884_gab,1.0
15,1178771153156018176_twitter,0.854
16,25847294_gab,0.75
17,17821245_gab,1.0
18,6453946_gab,0.317
19,11474597_gab,0.75
20,1178941622815526912_twitter,0.417
21,11272788_gab,0.3
22,8968572_gab,1.0
23,17973079_gab,1.0
24,21209515_gab,0.612
25,1178749717003558912_twitter,1.0
26,7711217_gab,1.0
27,17397697_gab,0.72
28,9827968_gab,0.513
29,11580960_gab,0.75
30,6893433_gab,0.373
31,25355082_gab,0.63
32,14877373_gab,0.537
33,22545451_gab,0.197
34,27162115_gab,0.525
35,17965117_gab,0.358
36,22669058_gab,1.0
37,25551077_gab,0.694
38,16752837_gab,0.75
39,15968656_gab,1.0
40,20872466_gab,1.0
41,12168951_gab,0.38
42,1178783419188174848_twitter,1.0
43,11657882_gab,0.186
44,23964065_gab,0.396
45,19137586_gab,0.653
46,22971068_gab,1.0
47,14046032_gab,0.75
48,17964759_gab,0.303
49,9814962_gab,0.419
50,25030808_gab,0.733
51,17524279_gab,0.5
52,22341093_gab,0.5
53,11800714_gab,0.257
54,2892220_gab,0.75
55,1178773239566405633_twitter,1.0
56,1178981359991349248_twitter,0.736
57,10060746_gab,0.611
58,2372101_gab,0.713
59,19090207_gab,0.833
60,14265205_gab,0.366
61,1178311052062277634_twitter,0.25
62,14269466_gab,0.385
63,17825834_gab,0.6
64,19513796_gab,0.75
65,13338889_gab,0.722
66,18211625_gab,0.611
67,22771907_gab,0.812
68,18538260_gab,0.75
69,20151499_gab,0.889
70,13500230_gab,0.434
71,23956986_gab,0.75
72,13261438_gab,1.0
73,19406744_gab,1.0
74,23383427_gab,0.833
75,21603448_gab,0.322
76,14408681_gab,1.0
77,26107989_gab,1.0
78,16350214_gab,0.351
79,18837400_gab,1.0
80,18744398_gab,0.75
81,19840172_gab,1.0
82,15025367_gab,1.0
83,25629260_gab,0.75
84,19410887_gab,1.0
85,21838010_gab,1.0
86,4120470_gab,1.0
87,16866274_gab,0.889
88,5390438_gab,0.558
89,20120250_gab,0.313
90,17615865_gab,1.0
91,21611117_gab,0.595
92,15782348_gab,0.722
93,7981655_gab,0.75
94,18230837_gab,0.801
95,25706209_gab,0.422
96,21735535_gab,0.611
97,17179582_gab,1.0
98,21547300_gab,1.0
99,21357074_gab,0.25
100,24844856_gab,0.509
101,23801279_gab,0.583
102,11534429_gab,0.792
103,22088852_gab,0.445
104,14035101_gab,0.565
105,27944432_gab,0.75
106,13797010_gab,0.655
107,14987108_gab,1.0
108,12443667_gab,0.697
109,25733215_gab,1.0
110,22107142_gab,1.0
111,24402010_gab,1.0
112,16935519_gab,0.413
113,24133934_gab,1.0
114,26030631_gab,1.0
115,12860828_gab,0.556
116,24867691_gab,0.564
117,21342377_gab,1.0
118,17255262_gab,1.0
119,2958188_gab,0.448
120,1179089592819032069_twitter,0.389
121,21929907_gab,1.0
122,16147501_gab,0.278
123,13489643_gab,0.498
124,17511834_gab,0.428
125,1178658944136429571_twitter,1.0
126,24473478_gab,0.487
127,22968073_gab,0.791
