,Id,Similarity
0,12861638_gab,0.361
1,21726323_gab,0.678
2,14835583_gab,0.639
3,27251442_gab,0.583
4,11133060_gab,0.577
5,25665650_gab,0.602
6,25516280_gab,0.461
7,3168947_gab,0.31
8,15553301_gab,0.374
9,27872681_gab,0.657
10,11684884_gab,0.619
11,14445063_gab,0.286
12,1178771153156018176_twitter,0.682
13,25847294_gab,0.626
14,17821245_gab,0.626
15,6453946_gab,0.293
16,11474597_gab,0.602
17,1178941622815526912_twitter,0.557
18,11272788_gab,0.572
19,18392941_gab,0.688
20,8968572_gab,0.497
21,17973079_gab,0.875
22,5863837_gab,0.597
23,8210379_gab,0.308
24,21209515_gab,0.624
25,1178749717003558912_twitter,0.373
26,17397697_gab,0.749
27,9827968_gab,0.489
28,11580960_gab,0.795
29,5806927_gab,0.619
30,1253446187509784576_twitter,0.474
31,6893433_gab,0.379
32,25355082_gab,0.611
33,14877373_gab,0.555
34,22545451_gab,0.578
35,27162115_gab,0.704
36,17965117_gab,0.295
37,22669058_gab,0.096
38,25551077_gab,0.653
39,16752837_gab,0.381
40,15968656_gab,0.372
41,20872466_gab,0.358
42,1178783419188174848_twitter,0.322
43,11657882_gab,0.373
44,23964065_gab,0.583
45,19137586_gab,0.701
46,16056333_gab,0.458
47,22971068_gab,0.409
48,14046032_gab,0.738
49,17964759_gab,0.576
50,9814962_gab,0.421
51,25030808_gab,0.67
52,17524279_gab,0.455
53,22341093_gab,0.652
54,11800714_gab,0.471
55,2892220_gab,0.352
56,1178773239566405633_twitter,0.556
57,1178981359991349248_twitter,0.867
58,10060746_gab,0.726
59,2372101_gab,0.678
60,19090207_gab,0.67
61,1178311052062277634_twitter,0.49
62,14269466_gab,0.568
63,17825834_gab,0.591
64,19513796_gab,0.454
65,13338889_gab,0.737
66,18211625_gab,0.498
67,22771907_gab,0.95
68,18538260_gab,0.439
69,20151499_gab,0.662
70,13500230_gab,0.551
71,23956986_gab,0.732
72,1179043779354882049_twitter,0.78
73,19406744_gab,0.548
74,23383427_gab,0.61
75,21603448_gab,0.357
76,26107989_gab,0.659
77,16350214_gab,0.437
78,18837400_gab,0.609
79,18744398_gab,0.744
80,19840172_gab,0.725
81,15025367_gab,0.717
82,25629260_gab,0.519
83,19410887_gab,1.0
84,21838010_gab,0.412
85,4120470_gab,0.395
86,16866274_gab,0.672
87,5390438_gab,0.573
88,20120250_gab,0.4
89,17615865_gab,0.833
90,21611117_gab,0.54
91,15782348_gab,0.567
92,25267753_gab,0.511
93,7981655_gab,0.759
94,18230837_gab,0.734
95,25706209_gab,0.528
96,21735535_gab,0.562
97,17013950_gab,0.522
98,17179582_gab,0.578
99,21547300_gab,0.659
100,21357074_gab,0.653
101,24844856_gab,0.647
102,23801279_gab,0.729
103,11534429_gab,0.511
104,22088852_gab,0.462
105,14035101_gab,0.631
106,27944432_gab,0.644
107,13797010_gab,0.706
108,14987108_gab,0.572
109,12155952_gab,0.624
110,22107142_gab,0.601
111,24402010_gab,0.726
112,16935519_gab,0.621
113,24133934_gab,0.704
114,26030631_gab,0.811
115,12860828_gab,0.615
116,24867691_gab,0.567
117,21342377_gab,0.596
118,2958188_gab,0.451
119,1179089592819032069_twitter,0.288
120,21929907_gab,0.64
121,11756798_gab,0.313
122,16147501_gab,0.604
123,17511834_gab,0.623
124,1178658944136429571_twitter,0.598
125,22968073_gab,0.726
