,Id,Similarity
0,13443541_gab,0.467
1,27478936_gab,0.457
2,1480557_gab,0.255
3,21726323_gab,0.511
4,14835583_gab,0.466
5,27251442_gab,0.461
6,11133060_gab,0.406
7,25665650_gab,0.602
8,20893287_gab,0.382
9,25516280_gab,0.317
10,3168947_gab,0.305
11,15553301_gab,0.299
12,27872681_gab,0.645
13,24549535_gab,0.453
14,11684884_gab,0.542
15,1178771153156018176_twitter,0.561
16,25847294_gab,0.365
17,17821245_gab,0.425
18,6453946_gab,0.283
19,11474597_gab,0.514
20,1178941622815526912_twitter,0.567
21,11272788_gab,0.538
22,8968572_gab,0.417
23,17973079_gab,0.625
24,21209515_gab,0.536
25,1178749717003558912_twitter,0.437
26,7711217_gab,0.619
27,17397697_gab,0.47
28,9827968_gab,0.177
29,11580960_gab,0.518
30,6893433_gab,0.371
31,25355082_gab,0.535
32,14877373_gab,0.342
33,22545451_gab,0.24
34,27162115_gab,0.482
35,17965117_gab,0.345
36,22669058_gab,0.201
37,25551077_gab,0.531
38,16752837_gab,0.248
39,15968656_gab,0.195
40,20872466_gab,0.499
41,12168951_gab,0.207
42,1178783419188174848_twitter,0.404
43,11657882_gab,0.26
44,23964065_gab,0.417
45,19137586_gab,0.611
46,22971068_gab,0.524
47,14046032_gab,0.705
48,17964759_gab,0.28
49,9814962_gab,0.348
50,25030808_gab,0.54
51,17524279_gab,0.151
52,22341093_gab,0.536
53,11800714_gab,0.463
54,2892220_gab,0.218
55,1178773239566405633_twitter,0.558
56,1178981359991349248_twitter,0.641
57,10060746_gab,0.656
58,2372101_gab,0.538
59,19090207_gab,0.376
60,14265205_gab,0.155
61,1178311052062277634_twitter,0.228
62,14269466_gab,0.571
63,17825834_gab,0.169
64,19513796_gab,0.265
65,13338889_gab,0.46
66,18211625_gab,0.368
67,22771907_gab,0.583
68,18538260_gab,0.347
69,20151499_gab,0.432
70,13500230_gab,0.119
71,23956986_gab,0.449
72,13261438_gab,0.527
73,19406744_gab,0.36
74,23383427_gab,0.484
75,21603448_gab,0.273
76,14408681_gab,0.238
77,26107989_gab,0.634
78,16350214_gab,0.313
79,18837400_gab,0.466
80,18744398_gab,0.564
81,19840172_gab,0.486
82,15025367_gab,0.583
83,25629260_gab,0.38
84,19410887_gab,0.667
85,21838010_gab,0.35
86,4120470_gab,0.4
87,16866274_gab,0.437
88,5390438_gab,0.648
89,20120250_gab,0.282
90,17615865_gab,0.5
91,21611117_gab,0.211
92,15782348_gab,0.397
93,7981655_gab,0.593
94,18230837_gab,0.494
95,25706209_gab,0.51
96,21735535_gab,0.331
97,17179582_gab,0.384
98,21547300_gab,0.526
99,21357074_gab,0.451
100,24844856_gab,0.474
101,23801279_gab,0.494
102,11534429_gab,0.407
103,22088852_gab,0.545
104,14035101_gab,0.631
105,27944432_gab,0.454
106,13797010_gab,0.565
107,14987108_gab,0.463
108,12443667_gab,0.526
109,25733215_gab,0.178
110,22107142_gab,0.565
111,24402010_gab,0.393
112,16935519_gab,0.18
113,24133934_gab,0.581
114,26030631_gab,0.555
115,12860828_gab,0.565
116,24867691_gab,0.505
117,21342377_gab,0.423
118,17255262_gab,0.675
119,2958188_gab,0.287
120,1179089592819032069_twitter,0.362
121,21929907_gab,0.429
122,16147501_gab,0.469
123,13489643_gab,0.173
124,17511834_gab,0.444
125,1178658944136429571_twitter,0.444
126,24473478_gab,0.279
127,22968073_gab,0.456
