,Id,Similarity
0,21726323_gab,0.67
1,14835583_gab,0.602
2,27251442_gab,0.619
3,11133060_gab,0.577
4,25665650_gab,0.769
5,1179078045132414976_twitter,0.554
6,20893287_gab,0.339
7,25516280_gab,0.49
8,3168947_gab,0.397
9,27872681_gab,0.801
10,24549535_gab,0.577
11,1178771153156018176_twitter,0.759
12,25847294_gab,0.626
13,17821245_gab,0.581
14,6453946_gab,0.279
15,11474597_gab,0.615
16,1178941622815526912_twitter,0.582
17,11272788_gab,0.548
18,8968572_gab,0.534
19,17973079_gab,0.875
20,8210379_gab,0.323
21,21209515_gab,0.749
22,1178749717003558912_twitter,0.396
23,7711217_gab,0.569
24,17397697_gab,0.752
25,9827968_gab,0.492
26,11580960_gab,0.791
27,2859820_gab,0.445
28,6893433_gab,0.442
29,25355082_gab,0.667
30,14877373_gab,0.558
31,22545451_gab,0.512
32,27162115_gab,0.686
33,17965117_gab,0.282
34,22669058_gab,0.209
35,25551077_gab,0.7
36,16752837_gab,0.482
37,15968656_gab,0.394
38,20872466_gab,0.373
39,12168951_gab,0.383
40,1178783419188174848_twitter,0.387
41,11657882_gab,0.393
42,23964065_gab,0.517
43,16056333_gab,0.478
44,22971068_gab,0.506
45,14046032_gab,0.766
46,17964759_gab,0.427
47,9814962_gab,0.375
48,25030808_gab,0.738
49,17524279_gab,0.414
50,1472569_gab,0.558
51,22341093_gab,0.684
52,11800714_gab,0.545
53,2892220_gab,0.404
54,1178773239566405633_twitter,0.473
55,10060746_gab,0.717
56,2372101_gab,0.689
57,19090207_gab,0.67
58,14265205_gab,0.42
59,1178311052062277634_twitter,0.382
60,14269466_gab,0.565
61,17825834_gab,0.53
62,19513796_gab,0.327
63,13338889_gab,0.776
64,18211625_gab,0.494
65,22771907_gab,0.95
66,18538260_gab,0.428
67,20151499_gab,0.71
68,13500230_gab,0.524
69,23956986_gab,0.717
70,13261438_gab,0.682
71,1179043779354882049_twitter,0.864
72,19406744_gab,0.499
73,17034621_gab,0.257
74,23383427_gab,0.716
75,21603448_gab,0.307
76,14408681_gab,0.322
77,26107989_gab,0.726
78,16350214_gab,0.385
79,18837400_gab,0.597
80,18744398_gab,0.744
81,19840172_gab,0.713
82,15025367_gab,0.883
83,25629260_gab,0.449
84,19410887_gab,1.0
85,21838010_gab,0.349
86,4120470_gab,0.423
87,16866274_gab,0.762
88,5390438_gab,0.685
89,20120250_gab,0.478
90,17615865_gab,0.833
91,21611117_gab,0.525
92,15782348_gab,0.581
93,25267753_gab,0.604
94,18230837_gab,0.739
95,25706209_gab,0.548
96,21735535_gab,0.545
97,17013950_gab,0.499
98,17179582_gab,0.495
99,21547300_gab,0.605
100,1179014962741743616_twitter,0.723
101,21357074_gab,0.619
102,24844856_gab,0.623
103,23801279_gab,0.799
104,11534429_gab,0.513
105,22088852_gab,0.416
106,14035101_gab,0.694
107,27944432_gab,0.67
108,13797010_gab,0.623
109,14987108_gab,0.555
110,25733215_gab,0.204
111,22107142_gab,0.644
112,24402010_gab,0.704
113,16935519_gab,0.426
114,24133934_gab,0.695
115,26030631_gab,0.851
116,24867691_gab,0.6
117,21342377_gab,0.648
118,2958188_gab,0.512
119,1179089592819032069_twitter,0.491
120,21929907_gab,0.774
121,11756798_gab,0.302
122,16147501_gab,0.586
123,13489643_gab,0.555
124,17511834_gab,0.633
125,1178658944136429571_twitter,0.614
126,24473478_gab,0.473
127,22968073_gab,0.787
