,Id,Similarity
0,13443541_gab,0.622
1,27478936_gab,0.571
2,1480557_gab,0.567
3,21726323_gab,0.666
4,14835583_gab,0.617
5,27251442_gab,0.644
6,11133060_gab,0.571
7,25665650_gab,0.586
8,20893287_gab,0.315
9,25516280_gab,0.502
10,3168947_gab,0.406
11,15553301_gab,0.456
12,27872681_gab,0.759
13,24549535_gab,0.601
14,11684884_gab,0.692
15,1178771153156018176_twitter,0.863
16,25847294_gab,0.626
17,17821245_gab,0.605
18,6453946_gab,0.317
19,11474597_gab,0.683
20,1178941622815526912_twitter,0.643
21,11272788_gab,0.541
22,8968572_gab,0.599
23,17973079_gab,0.875
24,21209515_gab,0.687
25,1178749717003558912_twitter,0.353
26,7711217_gab,0.619
27,17397697_gab,0.766
28,9827968_gab,0.495
29,11580960_gab,0.725
30,6893433_gab,0.418
31,25355082_gab,0.689
32,14877373_gab,0.582
33,22545451_gab,0.415
34,27162115_gab,0.655
35,17965117_gab,0.358
36,22669058_gab,0.146
37,25551077_gab,0.694
38,16752837_gab,0.376
39,15968656_gab,0.363
40,20872466_gab,0.459
41,12168951_gab,0.38
42,1178783419188174848_twitter,0.282
43,11657882_gab,0.403
44,23964065_gab,0.517
45,19137586_gab,0.778
46,22971068_gab,0.505
47,14046032_gab,0.758
48,17964759_gab,0.379
49,9814962_gab,0.419
50,25030808_gab,0.746
51,17524279_gab,0.401
52,22341093_gab,0.751
53,11800714_gab,0.494
54,2892220_gab,0.337
55,1178773239566405633_twitter,0.558
56,1178981359991349248_twitter,0.794
57,10060746_gab,0.631
58,2372101_gab,0.694
59,19090207_gab,0.741
60,14265205_gab,0.366
61,1178311052062277634_twitter,0.481
62,14269466_gab,0.574
63,17825834_gab,0.541
64,19513796_gab,0.36
65,13338889_gab,0.656
66,18211625_gab,0.504
67,22771907_gab,0.85
68,18538260_gab,0.431
69,20151499_gab,0.745
70,13500230_gab,0.441
71,23956986_gab,0.682
72,13261438_gab,0.738
73,19406744_gab,0.521
74,23383427_gab,0.778
75,21603448_gab,0.322
76,14408681_gab,0.273
77,26107989_gab,0.806
78,16350214_gab,0.351
79,18837400_gab,0.686
80,18744398_gab,0.744
81,19840172_gab,0.667
82,15025367_gab,0.883
83,25629260_gab,0.567
84,19410887_gab,1.0
85,21838010_gab,0.314
86,4120470_gab,0.479
87,16866274_gab,0.743
88,5390438_gab,0.646
89,20120250_gab,0.365
90,17615865_gab,1.0
91,21611117_gab,0.58
92,15782348_gab,0.61
93,7981655_gab,0.711
94,18230837_gab,0.793
95,25706209_gab,0.438
96,21735535_gab,0.493
97,17179582_gab,0.429
98,21547300_gab,0.687
99,21357074_gab,0.68
100,24844856_gab,0.666
101,23801279_gab,0.725
102,11534429_gab,0.465
103,22088852_gab,0.445
104,14035101_gab,0.654
105,27944432_gab,0.696
106,13797010_gab,0.655
107,14987108_gab,0.603
108,12443667_gab,0.732
109,25733215_gab,0.302
110,22107142_gab,0.631
111,24402010_gab,0.597
112,16935519_gab,0.41
113,24133934_gab,0.738
114,26030631_gab,0.815
115,12860828_gab,0.731
116,24867691_gab,0.564
117,21342377_gab,0.593
118,17255262_gab,0.675
119,2958188_gab,0.453
120,1179089592819032069_twitter,0.487
121,21929907_gab,0.74
122,16147501_gab,0.636
123,13489643_gab,0.498
124,17511834_gab,0.616
125,1178658944136429571_twitter,0.633
126,24473478_gab,0.487
127,22968073_gab,0.791
